epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,601.891,1.42924,1.01182,1.11369,0.74467,0.71075,0.6778,0.43076,1.67205,2.19791,1.20831,4.5577e-05,4.5577e-05,4.5577e-05
100,607.175,1.39432,0.94644,1.08741,0.75364,0.70236,0.67699,0.43001,1.67004,2.19528,1.20713,4.36135e-05,4.36135e-05,4.36135e-05
101,613.189,1.3807,0.97687,1.07422,0.7394,0.7121,0.67665,0.43027,1.67867,2.19161,1.2072,4.165e-05,4.165e-05,4.165e-05
102,620.01,1.353,0.92377,1.07315,0.75693,0.70174,0.67633,0.42985,1.68014,2.18138,1.20687,3.96865e-05,3.96865e-05,3.96865e-05
103,625.375,1.37119,0.87475,1.08002,0.75676,0.70444,0.67718,0.43055,1.68676,2.19507,1.20793,3.7723e-05,3.7723e-05,3.7723e-05
104,632.821,1.36556,0.94895,1.0683,0.74228,0.7109,0.67655,0.4301,1.68001,2.19436,1.20739,3.57595e-05,3.57595e-05,3.57595e-05
105,638.401,1.3743,0.95902,1.05997,0.75694,0.70456,0.67701,0.43116,1.68172,2.17214,1.20642,3.3796e-05,3.3796e-05,3.3796e-05
106,644.298,1.39404,0.992,1.07297,0.69181,0.75422,0.67627,0.43038,1.67569,2.16419,1.20516,3.18325e-05,3.18325e-05,3.18325e-05
107,650.997,1.36264,0.90467,1.07838,0.75557,0.70482,0.67524,0.43039,1.67971,2.17489,1.20584,2.9869e-05,2.9869e-05,2.9869e-05
108,656.333,1.39108,0.99061,1.09954,0.75626,0.70445,0.6761,0.43084,1.68219,2.17755,1.20641,2.79055e-05,2.79055e-05,2.79055e-05
109,663.319,1.36018,0.88916,1.09199,0.69366,0.75124,0.67495,0.43048,1.69198,2.17933,1.20714,2.5942e-05,2.5942e-05,2.5942e-05
110,668.307,1.38074,0.95996,1.09656,0.69204,0.75329,0.67727,0.43229,1.68564,2.17325,1.20615,2.39785e-05,2.39785e-05,2.39785e-05
111,676.688,1.39133,0.95239,1.08849,0.69395,0.75108,0.67512,0.43018,1.68976,2.16661,1.20509,2.2015e-05,2.2015e-05,2.2015e-05
112,684.419,1.35998,0.92171,1.07825,0.69459,0.74993,0.6748,0.42995,1.6863,2.16725,1.20499,2.00515e-05,2.00515e-05,2.00515e-05
113,689.677,1.4012,0.92935,1.1148,0.69458,0.75068,0.67301,0.42894,1.69401,2.16585,1.20451,1.8088e-05,1.8088e-05,1.8088e-05
114,696.986,1.35639,0.89254,1.09763,0.69438,0.75064,0.67271,0.42831,1.69252,2.17069,1.20509,1.61245e-05,1.61245e-05,1.61245e-05
115,702.574,1.38032,0.94251,1.06985,0.69584,0.74958,0.67149,0.4285,1.69451,2.16769,1.2047,1.4161e-05,1.4161e-05,1.4161e-05
116,709.411,1.3898,0.98705,1.09919,0.69501,0.74994,0.67325,0.42868,1.6898,2.15974,1.20444,1.21975e-05,1.21975e-05,1.21975e-05
117,715.054,1.36565,0.88794,1.10379,0.69422,0.74947,0.67316,0.42943,1.68828,2.16469,1.20444,1.0234e-05,1.0234e-05,1.0234e-05
118,720.729,1.38954,0.92755,1.09266,0.69353,0.74735,0.672,0.42791,1.69806,2.15618,1.20504,8.2705e-06,8.2705e-06,8.2705e-06
119,727.967,1.36668,0.91303,1.09266,0.69402,0.74839,0.67314,0.42829,1.69692,2.15631,1.20388,6.307e-06,6.307e-06,6.307e-06
120,733.179,1.39899,0.98426,1.06705,0.69432,0.74857,0.67442,0.42911,1.68903,2.15495,1.20322,4.3435e-06,4.3435e-06,4.3435e-06
