epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,6749.85,0.2771,0.26859,0.7963,0.99563,0.98862,0.99429,0.98669,0.18864,0.12794,0.7728,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6846.27,0.2785,0.26855,0.79601,0.99473,0.98968,0.99433,0.98657,0.1885,0.12748,0.77283,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6939.87,0.27719,0.26867,0.79655,0.99431,0.99021,0.99435,0.98669,0.18829,0.12727,0.77297,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7034.1,0.2765,0.26728,0.79634,0.99382,0.99056,0.99435,0.98677,0.18818,0.1269,0.77296,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7129.11,0.27332,0.26359,0.79515,0.99432,0.99041,0.99434,0.98694,0.18804,0.12676,0.7729,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7223.96,0.27455,0.26155,0.79559,0.99488,0.99013,0.99435,0.98684,0.18794,0.12653,0.77283,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7318.74,0.27228,0.2625,0.79567,0.99493,0.9899,0.99435,0.98672,0.18778,0.12628,0.77274,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7414.18,0.27147,0.25934,0.79393,0.99591,0.98913,0.99437,0.98674,0.18767,0.12623,0.77275,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7510.93,0.27132,0.25999,0.7954,0.99541,0.98958,0.99438,0.98684,0.18755,0.12587,0.77284,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7606.21,0.26997,0.25605,0.79437,0.9955,0.9895,0.99438,0.98694,0.18743,0.12551,0.77291,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7702.05,0.27082,0.25728,0.79447,0.99456,0.99041,0.99439,0.98692,0.18739,0.12545,0.77287,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7797.81,0.26763,0.25386,0.79467,0.99576,0.98952,0.99439,0.98695,0.18724,0.12508,0.77282,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7897.74,0.26757,0.25153,0.79466,0.9941,0.99113,0.99439,0.98698,0.18716,0.12502,0.77283,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7995.29,0.26709,0.25049,0.79468,0.99523,0.99019,0.9944,0.98693,0.18706,0.12491,0.77282,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8092.54,0.26558,0.24995,0.7951,0.99115,0.99406,0.9944,0.98709,0.18689,0.12472,0.77283,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8188.44,0.26404,0.24592,0.7944,0.99229,0.99335,0.99441,0.98706,0.18679,0.12457,0.77279,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8286.92,0.26294,0.24487,0.79408,0.99254,0.9928,0.99442,0.98703,0.18678,0.12446,0.77277,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8383.81,0.26191,0.24321,0.79372,0.99606,0.98964,0.99442,0.98704,0.18667,0.12422,0.77276,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8480.72,0.26331,0.24377,0.794,0.99574,0.98981,0.99442,0.98711,0.18658,0.12411,0.77275,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8578.19,0.26031,0.242,0.79426,0.99562,0.98995,0.99443,0.98711,0.18649,0.12404,0.77277,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8674.17,0.25974,0.23885,0.79418,0.99644,0.98949,0.99443,0.98722,0.18638,0.12387,0.77278,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8768.88,0.22442,0.16403,0.77239,0.9967,0.98928,0.99443,0.98721,0.18635,0.12374,0.77278,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8860.31,0.22217,0.16083,0.77241,0.99547,0.99004,0.99443,0.98716,0.18633,0.12358,0.77278,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8952.6,0.22068,0.1591,0.77169,0.99567,0.99001,0.99443,0.98719,0.18618,0.12343,0.77282,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9044.61,0.21848,0.15577,0.77047,0.99553,0.99017,0.99444,0.98731,0.18605,0.12341,0.77286,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9136.44,0.21777,0.15598,0.77166,0.99606,0.98983,0.99444,0.98727,0.18597,0.12314,0.77289,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9229.61,0.21621,0.15252,0.77128,0.99564,0.99,0.99444,0.98721,0.18589,0.12286,0.77292,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9323.25,0.21492,0.1514,0.77124,0.99557,0.99014,0.99444,0.98733,0.1858,0.12275,0.77295,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9414.36,0.21451,0.14996,0.77085,0.99503,0.99075,0.99445,0.98715,0.1857,0.12272,0.77294,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9504.66,0.21204,0.14676,0.76976,0.99498,0.99071,0.99444,0.98732,0.18557,0.1226,0.77293,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9594.09,0.21075,0.14514,0.77026,0.99502,0.99067,0.99444,0.98727,0.18544,0.12227,0.77292,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
